event_date,title,n
20210113,Men's / Unisex | Apparel | Google Merchandise Store,467
20201107,The Google Merchandise Store - Log In,466
20210131,YouTube | Shop by Brand | Google Merchandise Store,466
20201229,Page Unavailable,465
20201208,YouTube | Shop by Brand | Google Merchandise Store,465
20210127,Google Dino Game Tee,462
20210122,YouTube | Shop by Brand | Google Merchandise Store,462
20210120,Drinkware | Lifestyle | Google Merchandise Store,461
20210106,Men's / Unisex | Apparel | Google Merchandise Store,461
20210120,The Google Merchandise Store - Log In,461
20201228,Shopping Cart,460
20210128,New | Google Merchandise Store,459
20201114,The Google Merchandise Store - Log In,458
20210126,Google Dino Game Tee,457
20201109,Men's / Unisex | Apparel | Google Merchandise Store,456
20201204,New | Google Merchandise Store,456
20201207,Google Dino Game Tee,454
20201212,YouTube | Shop by Brand | Google Merchandise Store,454
20201207,YouTube | Shop by Brand | Google Merchandise Store,453
20210104,Google Dino Game Tee,450
20210121,The Google Merchandise Store - Log In,450
20201208,Drinkware | Lifestyle | Google Merchandise Store,446
20201124,New | Google Merchandise Store,446
20201125,Drinkware | Lifestyle | Google Merchandise Store,446
20201103,New | Google Merchandise Store,445
20201130,YouTube | Shop by Brand | Google Merchandise Store,445
20210120,Bags | Lifestyle | Google Merchandise Store,444
20201208,Campus Collection | Google Merchandise Store,443
20201216,New | Google Merchandise Store,443
20201210,Drinkware | Lifestyle | Google Merchandise Store,443
20210128,The Google Merchandise Store - Log In,443
20210113,Sale | Google Merchandise Store,443
20201211,New | Google Merchandise Store,442
20201209,Store search results,442
20210129,The Google Merchandise Store - Log In,442
20201105,Sale | Google Merchandise Store,441
20201120,Store search results,441
20201203,Store search results,440
20201215,New | Google Merchandise Store,439
20210120,Store search results,437
20201128,Men's / Unisex | Apparel | Google Merchandise Store,437
20201209,Campus Collection | Google Merchandise Store,436
20201217,New | Google Merchandise Store,436
20201221,YouTube | Shop by Brand | Google Merchandise Store,436
20201119,YouTube | Shop by Brand | Google Merchandise Store,436
20201228,YouTube | Shop by Brand | Google Merchandise Store,436
20201106,Sale | Google Merchandise Store,435
20210106,Sale | Google Merchandise Store,434
20201104,Sale | Google Merchandise Store,434
20201221,Google Dino Game Tee,433
20201102,Sale | Google Merchandise Store,432
20201204,Store search results,432
20201208,Page Unavailable,432
20201204,Google Dino Game Tee,432
20201218,YouTube | Shop by Brand | Google Merchandise Store,431
20210114,Sale | Google Merchandise Store,431
20201124,YouTube | Shop by Brand | Google Merchandise Store,431
20201206,YouTube | Shop by Brand | Google Merchandise Store,430
20210119,Sale | Google Merchandise Store,429
20201101,The Google Merchandise Store - Log In,429
20210125,Page Unavailable,425
20201223,The Google Merchandise Store - Log In,424
20210112,Sale | Google Merchandise Store,424
20201115,The Google Merchandise Store - Log In,424
20201118,YouTube | Shop by Brand | Google Merchandise Store,424
20201127,YouTube | Shop by Brand | Google Merchandise Store,424
20201214,New | Google Merchandise Store,424
20201216,Page Unavailable,424
